letter,question,answer
ض,"ما الوثيقة أو العهد الذي يتعهد فيه الطرف الملتزم بوفاء الالتزامات؟","ضمانة"
ض,"جزء من اليوم؟","ضحى"
ض,"ما هو نوع من الأغنام التي تعيش في بعض المناطق الباردة والجبال؟","ضأن"
ض,"كلمة بمعنى خلاف الشيء وعكسه","ضد"
ض,"ما الحالة الجوية التي تقل فيها الرؤية بسبب تكاثف بخار الماء في الهواء؟","ضباب"
ض,"كل ما يُربَط به الجرح أو الكسر.","ضماد"
ض,"ما هو بخار الماء الذي يتحول في داخله إلى قطرات مائية؟","ضباب"
ض,"ما الكلمة العربية التي تعني الابتعاد عن الصواب والوقوع في الخطأ؟","ضلال"
ض,"ما هو الالتزام بالشيء وحفظه بحزم؟","ضوابط"
ض,"قليل لا عمق فيه ؟","ضحل"
ض,"مرادف أزمة؟","ضائقة"
ض,"من معجزات موسى عليه السلام لفرعون؟","الضفادع"
ض,"ما هو اسم الأسد الذي يبدأ بحرف الضاد؟","ضرغام"
ض,"ما هو الوقت الذي يبدأ من ارتفاع الشمس إلى قبيل الظهر؟","ضحى"
ض,"سوناتة بيانو للموسيقار لودفيج فان بيتهوفن على سلم دو مرتفع الصغير","ضوء القمر"
ض,"ما هو التزام الهدوء بعد التعرض لموقف ما؟","ضبط النفس"
ض,"ما الاسم الذي يُطلَق على السن الكبير الذي يظهر في مؤخرة الفم وقد يسبِّب آلامًا؟","ضرس العقل"
ض,"ماذا يطلق على الرجل الذي فقد بصره؟","الضرير"
ض,"من الحيوانات الصحراوية؟","ضب"
ض,"ما الاسم الذي يطلق على من يقع فريسة للظلم أو الأذى؟","ضحية"
ض,"مصطلح عامي يطلق على الشخص المتين","ضرنط"
ض,"كلمة تصف الماء القليل القريب من القاع، وتصف كل شيء سطحي ليس له عمق","ضحل"
ض,"ما هو الشيء الذي لا يملك كثافة؟","الضوء"
ط,"ماهي عاصمة دولة ليبيا؟","طرابلس"
ط,"ما الآلة الوترية التقليدية التي تُستخدَم في بعض المناطق العربية والإفريقية؟","طنبور"
ط,"ما التقسيم الاجتماعي أو الاقتصادي الذي يصنف الناس في مجموعات هرمية بناءً على الثروة أو المهنة أو المكانة؟","طبقية"
ط,"ما معنى كلمة تبتغي؟","تطلب"
ط,"ما اسم السلالة التي حكمت مصر بعد الفتح الإسلامي وقبل الفاطميين؟","الطولونية"
ط,"الدور من البناية أو الدور؟","طابق"
ط,"ما الغطاء التقليدي للرأس الذي اشتهر في بلدان الشام ومصر قديمًا؟","طربوش"
ط,"عميد الأدب العربي؟","طه حسين"
ط,"ما اسم الطائر الصغير ذي الألوان الزاهية الذي يشتهر بصيد الأسماك؟","طائر الرفراف"
ط,"ما هو الطائر البري الصغير المعروف بلحمه الشهي ويصطاد عادة؟","طائر الحجل"
ط,"ما هو العضو الموجود في جسم الإنسان الذي يقوم بتنقية الدم وإنتاج العصارة الصفراوية؟","الطحال"
ط,"ما هي الآلة الموسيقية الإيقاعية الصغيرة التي تشبه الطبل وتستخدم في الموسيقى العربية؟","طبلة"
ط,"ماذا نسمي مجموعة الألوان التي تنتج عن تحليل الضوء الأبيض؟","طيف"
ط,"ما معنى كلمة صامط؟","طعام قليل الملح"
ط,"ما الحركة الأفغانية التي ظهرت في التسعينيات وسيطرت على أجزاء واسعة من أفغانستان؟","طالبان"
ط,"مدينة تاريخية قريبة من مكة المكرمة ال ….. ؟","الطائف"
ط,"ماذا يسمى صوت الذباب والباعوض؟","طنين"
ط,"ما هي المركبة الجوية التي تستخدم محركات نفاثة أو مراوح للدفع؟","طائرة"
ط,"ما هو العضو الحيوي الذي يعمل على محاربة العدوى وتنقية الدم وتخزين خلاياه؟","الطحال"
ط,"ما هي إحدى الطبقات الرئيسية التي تحيط بكوكب الأرض وتحتوي على الهواء الذي نتنفسه؟","طبقة الغلاف الجوي"
ط,"ما هي عاصمة جمهورية أوزبكستان التركستانية؟","طاشكند."
ط,"ما هو الطائر المائي الذي يشتهر بقدرته على الغوص العميق بحثًا عن الطعام؟","طائر الغطاس"
ط,"في المعلومات العامة، كتاب شهير لمحمد بن سلام الجمحي يعتبر مصدرا هاما لمراتب الشعراء.","طبقات الشعراء"
ط,"ما اسم الملك الذي ورد ذكره في القرآن واختاره الله لبني إسرائيل رغم اعتراضهم على فقره؟","طالوت"
ط,"ما الحيوان الجبلي المعروف بقرونه المعقوفة ويعيش في جبال عُمان والإمارات؟","طهر عربي"
ط,"ما الوعاء المعدني الصغير الذي يُستخدَم للشرب أو الكيل في المطابخ العربية؟","طاسة"
ط,"من هو الشاعر الجاهلي صاحب إحدى المعلّقات ويُدعى طرفة بن…؟","طرفة بن العبد"
ط,"ما هي المادة المسحوقة التي تصنع من حبوب القمح أو غيرها من الحبوب وتستخدم في صناعة الخبز؟","طحين"
ط,"العلاقة التي يستفيد منها مخلوق حي بينما يتضرر مخلوق حي آخر؟","التطفل"
ط,"ما المصطلح الذي يصف التصرف بتهور دون التفكير بالعواقب؟","طيش"
ط,"ما اسم أول قائد مسلم عبر المضيق الذي سمي باسمه لفتح الأندلس؟","طارق بن زياد"
ط,"اسم يطلق على كل ماعُبد من دون الله وهو راضٍ بذلك","الطاغوت"
ط,"ما هي الطبقة الواقية في الغلاف الجوي التي تحمي الأرض من الأشعة فوق البنفسجية الضارة؟","طبقة الأوزون"
ط,"ماذا يسمى الشيء الذي يتم إرساله عبر البريد ويحتوي على محتويات مغلقة؟","طرد بريدي"
ط,"ما هو النبات العطري الذي يستخدم في الطهي ويسمى أيضًا الشيح الرومي؟","طرخون"
ط,"ما هو الشيء الذي يوضع حول رقبة الحيوانات أو البشر كزينة أو للتحكم؟","طوق"
ط,"ما هي الشبكة القديمة من الطرق التجارية التي ربطت الشرق بالغرب لنقل البضائع الثمينة؟","طرق الحرير"
ط,"ما المنسك في الحج أو العمرة الذي يلتف فيه المسلمون حول الكعبة المشرفة؟","طواف"
ط,"ما هو المصطلح الذي يُطلق على الممارسات أو المعتقدات الخرافية التي تتضمن استخدام رموز أو كلمات يُعتقد أن لها قوى للحماية أو التأثير؟","طلاسم"
ط,"ما الكلمة التي تدلّ على كل ما يؤكل ويشرب لحفظ الحياة والنمو؟","طعام"
ط,"احدى قطع الاسطول البحري لها قدرة على المناورة والقتال ومجهزة بالمدافع وتتميز بخفتها وسرعتها","الطراد"
ط,"ما هو الطائر الأسود الذي يشتهر بذكائه وصوته المميز؟","طائر الغراب"
ط,"عضو داخل جسم الإنسان؟","الطحال"
ط,"ما هي عاصمة اليابان؟","طوكيو"
ط,"ما الطائر الذي يزهو بذيله الملوّن الزخرفي ويُعرَف بجماله؟","طاووس"
ط,"ما هو أكبر طائر في العالم من حيث الحجم ولا يستطيع الطيران؟","طائر النعام"
ط,"ما الاسم الذي يُطلَق على الجهاز الطبي التعويضي الذي يحلّ محل أحد الأطراف؟","طرف صناعي"
ط,"ما هي المدينة المصرية التي تقع على خليج السويس وتشتهر بمينائها؟","طور سيناء"
ط,"ما هو الطائر الذي لا يستطيع الطيران وموطنه الأصلي نيوزيلندا؟","طائر الكيوي"
ط,"من هو أحد العشرة المبشرين بالجنة، وأحد السابقين إلى الإسلام؟","طلحة بن عبيد الله"
ط,"ماذا نسمي الأساليب أو الوسائل المختلفة التي يمكن استخدامها لتحقيق هدف ما؟","طرق"
ط,"ما هو اسم العملية الحسابية التي تعكس عملية الجمع؟","الطرح"
ط,"ماهي المحافظة الّتي يقام فيها سنويًا مهرجان ولي العهد للهجن؟","الطائف"
ط,"ما هي الآلة الموسيقية الإيقاعية التي تتكون من غشاء مشدود على إطار وتضرب باليد أو بالعصا؟","طبل"
ط,"ماذا يطلق على الصف المنتظم من الناس والأشياء للإنتظار؟","طابور"
ط,"ما هو الطائر الذي يُستخدم في سباقات الزاجل ويُعرف بقدرته على العودة إلى موطنه؟","طائر الحمام"
ط,"ما هي المدينة المغربية التي تقع على مضيق جبل طارق؟","طنجة"
ط,"ما هي المدينة التي تقع أقصى شمال السعودية؟","طريف"
ط,"ما هو الطائر الذي يعيش في المناطق القطبية ويتميز بقدرته على السباحة بمهارة؟","طائر البطريق"
ط,"ما هو مصدر الطاقة المتجددة التي تستمد من أشعة الشمس؟","طاقة شمسية"
ط,"قوة مستمدة من أشعة الشمس قادرة على توليد الحرارة مباشرة وإحداث التفاعلات الكيميائية وإنتاج الكهرباء","الطاقة الشمسية"
ط,"ما هي المادة اللينة التي تستخدم في صناعة الفخار والطوب؟","طين"
ط,"ما السورة القرآنية التي تبدأ بالحروف المقطّعة (طه)؟","طه"
ط,"ما معنى كلمة قوت؟","طعام"
ط,"ما المهنة التي تشخّص الأمراض وتصف الأدوية للمرضى؟","طبيب"
ط,"ما هو الطبق المغربي الشهير الذي يطهى في إناء فخاري مخروطي الشكل؟","طاجين"
ط,"ماذا تسمى الحكاية الخفيفة التي تهدف إلى إضحاك الناس؟","طرفة"
ط,"ما الفعل الذي يقوم به الطائر عند رفرفة جناحيه وارتفاعه عن الأرض؟","طيران"
ط,"ما هو الكائن الحي البسيط الذي ينمو في الماء ويقوم بعملية التمثيل الضوئي؟","طحلب"
ط,"ما هو الجهاز الذي يُستخدم لطباعة المستندات والصور؟","الطابعة"
ط,"ما هو مصدر الطاقة المتجددة الذي يستغل حركة الهواء لتوليد الكهرباء؟","طاقة الرياح"
ط,"من دعاء الرسول صلى الله عليه وسلم: ""اللهم مصرف القلوب صرف قلوبنا على...""؟","طاعتك"
ط,"من القائل: ""وظلم ذوي القربى أشد مضاضة على النفس من وقع الحسام المهندي""؟","طرفة بن العبد."
ط,"ما هو التغير المفاجئ والدائم في تسلسل الحمض النووي للكائن الحي؟","طفرة جينية"
ط,"ما هي اللعبة التي تصنع من الورق والخيوط وتطير في الهواء بفعل الرياح؟","طائرة ورقية"
ط,"ما يؤخذ من الأسماك الصغيرة ويقطع لحمه لإغواء الأسماك الأخرى","طعم"
ط,"ما عكس كلمة صالح؟","طالح"
ط,"ماهي العبادة التي كان يفعلها الناس منذ سيدنا إبراهيم عليه السلام ويستحب فيها الدعاء وذكر الله؟","الطواف"
ط,"ما هو الجهاز الطائر الذي يمكن التحكم به عن بعد ولا يحتاج إلى قائد بشري على متنه؟","طائرة بدون طيار"
ط,"ما هو الطائر الجارح الذي يُعرف بقوته وبصره الحاد؟","طائر العقاب"
ط,"ما هي المدينة الإسبانية التاريخية التي كانت عاصمة مملكة القوط الغربيين قبل الفتح الإسلامي، واشتهرت بمركز الترجمة في العصور الوسطى؟","طليطلة"
ط,"ما عاصمة دولة إيران وأكبر مدنها من حيث السكان؟","طهران"
ط,"ما المسار المُمهّد لسير السيارات والمركبات ويصل المدن والأحياء ببعضها؟","طريق"
ط,"ما هو الطائر الذي يتميز بمنقار كبير وملون بشكل لافت للنظر؟","طائر الطوقان"
ط,"شخص نقي، بريء، خالٍ من العيوب.","طاهر"
ط,"ما نوع الفن الذي يستخدم فيه الفنانون الألوان المخلوطة بالزيت لإنشاء لوحاتهم؟","طلاء زيتي"
ط,"ما المصطلح العسكري الذي يشير إلى القوات التي تتقدم في مقدمة الجيش لاستكشاف العدو وتأمين الطريق؟","طلائع"
ط,"ما هي المدينة الساحلية السورية التي تقع على البحر الأبيض المتوسط؟","طرطوس"
ط,"ما يطلق على صوت الذباب والنحل؟","طنين"
ط,"ماهو التعصب والولاء بشكل مفرط لجماعة معينة بناءً على روابط عقدية مما يؤدي إلى الانقسام داخل المجتمع الواحد؟","الطائفية"
ط,"ما هي الأداة التي تستخدم لرش الدهانات أو السوائل الأخرى؟","طرطوشة"
ط,"مسلسل تلفزيوني رمضاني كوميدي سعودي من بطولة عبدالله السدحان وناصر القصبي","طاش ما طاش"
ط,"وادٍ مقدّس في سيناء، كلّم الله فيه نبيَّه موسى عليه السلام","ُطوى"
ط,"ما الكلمة التي تعبر عن حالة غير متوقعة وتتطلب حلًا سريعًا؟","طارئة"
ط,"ما الذي يمر من خلال المدن والحقول ولكنه لا يتحرك أبدًا؟","الطريق"
ط,"ما هي المهنة التي تتضمن تشخيص وعلاج الأمراض والإصابات؟","طبيب"
ط,"ما القطعة الغنائية في التراث العربي وتُؤدّى بمصاحبة آلات شرقية؟","طقطوقة"
ط,"ماذا يسمى الشخص الذي يتظاهر بالمعرفة أو الأهمية وهو في الواقع ليس كذلك؟","طرطور"
ط,"من أهم مدن وموانئ لبنان الشقيقة؟","طرابلس"
ط,"ما هو الاسم الذي يُطلق على الممالك الإسلامية الصغيرة التي ظهرت في الأندلس بعد سقوط الخلافة الأموية في قرطبة؟","طوائف"
ظ,"أكمل الآية قال تعالى: { وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ سَنُدْخِلُهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا أَبَدًا لَهُمْ فِيهَا أَزْوَاجٌ مُطَهَّرَةٌ وَنُدْخِلُهُمْ ظِلًّا _________ }","ظليلا"
ظ,"كلما زاد، قل ما تراه، فما هو؟","الظلام"
ظ,"ما هو الشعور بالعطش الشديد نتيجة لنقص السوائل في الجسم؟","الظمأ"
ظ,"أكمل الآية، قال تعالى: { لَا يُحِبُّ اللَّهُ الْجَهْرَ بِالسُّوءِ مِنَ الْقَوْلِ إِلَّا مَنْ _______ وَكَانَ اللَّهُ سَمِيعًا عَلِيمًا }","ظُلِمَ"
ظ,"يطلق على أقدام البهائم كالغنم والبقر والظبى","ظلف"
ظ,"مركز في كرة القدم؟","ظهير"
ظ,"كلمة بمعنى مُتهم أو من نسب إليه ذنب أو جريمة","ظنين"
ظ,"كلمة بمعنى النصر؟","الظفر"
ظ,"ما المصطلح الفقهيّ الجاهليّ الذي يُشبِّه الزوجة بالمحرّمات فيحرِّمها على نفسه؟","ظهار"
ظ,"صوت فيه غنة ينتج من انشقاق الشفة العليا أو انكسار في الثنايا","ظأظأه"
ظ,"ما هو المصطلح الذي يعني الغلبة والفوز والقهر؟","الظفر"
ظ,"المنطقة الخلفية في جسم الإنسان، والتي ترتفع من أعلى الأرداف إلى مؤخرة العنق؟","الظهر"
ظ,"المنطقة المظلمة التي يسببها جسم ما عندما يحجب الضوء من الوصول إلى سطح ما؟","ظل"
ظ,"ما هي القضية التي تعالجها سورة المجادلة؟","الظهار"
ظ,"ما هي الأحوال والملابسات المحيطة بحدث معين؟","ظروف"
ظ,"ما الصفة التي تُطلَق على من يشعر بعطشٍ شديد؟","ظمآن"
ظ,"ما هو عكس النهار؟","ظلام"
ظ,"ما الصفة التي تنطبق على من يقسو ويتعدّى على الآخرين بغير حق؟","ظالم"
ظ,"ما الصفة المبالغ فيها لِمَن يفرط في الجور والتعدّي؟","ظلوم"
ظ,"شيء يوضع فيه الرسالة","ظرف"
ظ,"ما الاسم الدالّ على التوقع والترجيح بلا يقين؟","ظن"
ظ,"ما هو الشيء الذي يدخل الماء ولا يتبلل؟","الظل"
ظ,"اسم حيوان صغير يُصدر رائحة كريهة للدفاع عن نفسه؟","ظربان"
ظ,"ما الكلمة التي تقال على الدواب عند السير والارتحال؟","ظعن"
ظ,"ما الاسم الذي يُطلق على الغلاف الورقي الذي توضع بداخله الرسائل البريدية لإرسالها؟","ظرف رسالة"
ظ,"هو حيوان صغير قوي البنية ذو أرجل قصيرة ورأس صغير؟","الظربان"
ظ,"من المذاهب الفقهية التي تأخذ بظواهر النصوص الشرعية؟","الظاهرية"
ظ,"ما الحالة التي تدل على غياب الضوء وانتشار العتمة؟","ظلام"
ظ,"يظهر مع بداية النهار، ويختفي في وسطه، ثم يعود حتى الغروب. وهو ظاهر ما دامت العين مبصرة.","الظل"
ظ,"ما الكلمة العربيّة التي تعبِّر عن العطش الشديد؟","ظمأ"
ظ,"ما المصطلح الذي يُطلق على وقت انتصاف النهار عندما تكون الشمس في أعلى موضع لها؟","ظهيرة"
ظ,"ما هو الشيء الذي يمكنك وضعه في زجاجة بدون أن يدخله؟","الظل"
ظ,"ماذا يسمى حد انتصاف النهار؟","الظهيرة"
ظ,"ما هو الشيء الذي إذا وقفنا في منتصفه أصبحنا خارجه؟","الظل"
ظ,"أكمل الآية، قال تعالى: { وَأَمَّا مَنْ أُوتِيَ كِتَابَهُ وَرَاءَ .......... }","ظهره"
ظ,"ما المفهوم النحويّ الذي يشير إلى اسم يدل على زمان أو مكان؟","ظرف"
ظ,"شيء يمكن أن يظهر في السماء بعد الغروب، لكنه لا يلمس الأرض أبدًا، ما هو؟","الظل"
ظ,"أكمل الآية، قال تعالى: { وَلَوْ أَنَّ لِكُلِّ نَفْسٍ ............ مَا فِي الْأَرْضِ لَافْتَدَتْ بِهِ وَأَسَرُّوا النَّدَامَةَ لَمَّا رَأَوُا الْعَذَابَ وَقُضِيَ بَيْنَهُمْ بِالْقِسْطِ وَهُمْ لا يُظْلَمُون }","ظلمت"
ظ,"يطلق على المحيط الأطلسي قديماً بحر ماذا؟","الظلمات"
ظ,"ما معنى البنان؟","الظفر"
ظ,"أكمل الآية، قال تعالى: { وَعَلَى الَّذِينَ هَادُوا حَرَّمْنَا كُلَّ ذِي ........... وَمِنَ الْبَقَرِ وَالْغَنَمِ حَرَّمْنَا عَلَيْهِمْ شُحُومهما إِلَّا مَا حَمَلَتْ ظُهُورُهُمَا أَوِ الْحَوَايَا أَوْ مَا اخْتَلَطَ بِعَظْمٍ ذَلِكَ جَزَيْنَاهُمْ بِبَغْيِهِمْ وَإِنَّا لَصَادِقُونَ }","ظفر"
ظ,"في النحو: اسم دل على زمان الحدث أو مكانه؟","ظرف"
ظ,"ما هو اسم ذكر النعام في اللغة العربية والذي يبدأ بحرف الظاء؟","ظليم"
ظ,"ما اسم الغزال الجبليّ الرشيق المعروف بقرونه الجميلة؟","ظبي"
ظ,"ما هو الجزء الموجود في جسم الإنسان ويبدأ بحرف الظاء؟","ظهر"
ظ,"في النحو هو يدل على زمان الحدث أو مكانه؟","ظرف"
ظ,"ما المصطلح الذي يُعبِّر عن المساحة المظللة التي تُشكِّلها الأجسام عند اعتراضها لأشعة الشمس؟","ظل الشمس"
ظ,"ما المفردة التي نُطلِقها على أي حدث أو أمر يمكن رصده وملاحظته؟","ظاهرة"
ظ,"ما الجزء الصلب في طرف الأصابع ويُقصّ باستمرار؟","ظفر"
ظ,"أكمل الآية: قال تعالى: { مَثَلُهُمْ كَمَثَلِ الَّذِي اسْتَوْقَدَ نَارًا فَلَمَّا أَضَاءَتْ مَا حَوْلَهُ ذَهَبَ اللَّهُ بِنُورِهِمْ وَتَرَكَهُم في _______ لَا يُبْصِرُونَ }.","ظلمات"
ظ,"ما هي أول صلاة صلاها النبي محمد؟","صلاة الظهر"
ظ,"ما هو مرادف أطل، أناف، أهل، واتضح؟","ظهر"
ظ,"ما هو الوقت الذي تكون فيه الشمس في كبد السماء؟","الظهيرة"
ظ,"ما هو الحرف الذي لم يذكر في أسماء سور القرآن؟","الظاء"
ظ,"ما معنى كلمة حلك؟","ظلام شديد"
ظ,"شيء يكسو الناس وهو عارٍ؟","الظل"
ظ,"ما هو المصطلح الذي يطلق على العرج البسيط في المشي؟","ظلع"
ظ,"ما هو الشيء الذي لا يرى إلا في النهار أو عند توفر الضوء؟","ظل"
ظ,"آية في القرآن الكريم في سورة المجادلة تتكلم عن أحكام متعلقة بالزواج","الظهار"
ظ,"ما هي الصلاة التي تأتي بعد صلاة الفجر؟","الظهر"
ظ,"إحدى محافظات المملكة العربية السعودية، تقع في منطقة عسير؟","ظهران الجنوب"
ظ,"ما هي الناقة السوداء أو التي تغلب عليها السمرة؟","الظمياء"
ظ,"ما اسم الحيوان الصحراوي المعروف بجماله وسرعته ؟","ظَبْي"
ظ,"ما التسريحة المصنوعة من تجديل شعر الرأس في خُصلٍ ملتفّة؟","ظفيرة"
ظ,"ما هو المغلف أو الغلاف الذي توضع فيه الأوراق أو الأشياء الصغيرة؟","الظرف"
ظ,"ما الجمع الذي يُطلق على الاعتقادات أو الشكوك التي قد تكون صائبة أو خاطئة؟","ظنون"
ظ,"ما الاسم الذي أُطلِق في العربية قديمًا على المرأة في الهودج أثناء الترحال؟","ظعينة"
ظ,"ما هو المصطلح الذي يطلق على غياب الضوء أو المنطقة التي لا يصل إليها الشعاع؟","ظلام"
ظ,"نهى الله عنه وقال أن بعضه إثم؟","الظن"
ظ,"ما هي الكلمة التي تعني الغموض أو الالتباس؟","الظنون"
ظ,"ما هي أول صلاة فرضها الله سبحانه وتعالى على النبي محمد صلى الله عليه وسلم؟","الظهر"
ظ,"ما هو اللفظ الذي يطلق على حد السيف؟","ظبة"
ظ,"ما الكلمة التي تعني الواضح والبارز للعيان؟","ظاهر"
ظ,"غلاف يستخدم لحفظ الرسائل أو الأوراق","ظرف"
ظ,"نهى الله تعالى عنه وقال إن بعضه إثم","الظن"
ظ,"أكمل الآية، قال تعالى: { ...... الْفَسَادُ فِي الْبَرِّ وَالْبَحْرِ بِمَا كَسَبَتْ أَيْدِي النَّاسِ لِيُذِيقَهُمْ بَعْضَ الَّذِي عَمِلُوا لَعَلهُمْ يَرْجِعُونَ }","ظهر"
ظ,"يوجد في نهاية أرجل الحيوانات المجترة كالجمال والبقر، وهو بمنزلة الحوافر للأحصنة؟","ظلف"
ظ,"مكان مرتفع ويشتهر بكثرة الأشجار","الظهرة"
ظ,"ما اللفظة العربيّة التي تُطلَق على المرأة المُرضعة لولدٍ ليس ابنها؟","ظئر"
ظ,"ما هو الحرف الذي لم يرد في أي سورة من سور القرآن الكريم؟","ظاء"
ظ,"ما هو عكس النور؟","ظلام"
ظ,"ما الاسم الذي يُطلَق على الفترة اللاحقة لمنتصف النهار حيث تشتدّ الحرارة؟","ظهيرة"
ظ,"التهمة لها اسم صريح؟","ظنة"
ظ,"ما هو المصطلح الّذي ورد في القرآن ويعني المعين والنصير؟","ظهير"
ظ,"ما هو عكس كلمة نور؟","ظلام"
ظ,"أكمل الآية، قال تعالى: { وَلَا .......... وَلَا الْحَرُورُ }","الظل"
ظ,"ما هو الشيء الذي يخاف منه الجميع ولكن لا يؤذي أحدًا؟","الظلام"
ظ,"في أي محافظة سعودية يوجد أثر طريق الفيل الذي سلكه أبرهة الحبشي لهدم الكعبة؟","ظهران الجنوب"
ظ,"ما هو مرادف كلمة جور؟","ظلم"
ظ,"ما هو الشيء الذي إذا سرت سار معك ولا تسبقه؟","الظل"
ظ,"هو معاقبة شخص بدون أن يفعل شيء أو مكافأة شخص دون أن يفعل شيء؟","ظلم"
ظ,"ما الاسم الذي يُطلَق على أنثى الغزال الجميلة الرشيقة؟","ظبية"
ظ,"ما هو اسم أنثى الغزال؟","ظبية"
ظ,"ما هو اسم المنطقة التي كانت تُعرف باسم ظفار في التاريخ القديم؟","ظفار"
ظ,"ما هو الشيء الذي تراه في الليل لكنه يختفي في النهار؟","الظلام"
ظ,"ما هو الاسم الذي يُطلق على الحيوان الثديي الرشيق المعروف بسرعته وجماله، والذي يعيش غالبًا في المناطق الصحراوية والمراعي المفتوحة؟","ظبي"
ظ,"ما هو المصطلح الذي يُطلق على بروز صغير في جسم الإنسان يُرى أحيانًا أسفل الظفر؟","الظفرة"
ظ,"ما الصفة التي تُطلق على الرأي أو الحكم القابل للخطأ لعدم كفاية الأدلة؟","ظن"
ظ,"ما هو الاسم الذي يُطلق على الغطاء الذي يحمي الشخص من أشعة الشمس؟","الظلة"
ظ,"ما اسم المحافظة العمانية المشهورة باللبان والبخور؟","ظفار"
ع,"ما هو شريعة المتعاقدين؟","العقد"
ع,"ماذا تسمى الجماعة من الحمير؟","عانة"
ع,"من هو الصحابي الذي كان معه مفتاح الكعبة؟","عثمان بن طلحة"
ع,"دولة حاكمها يسمى السلطان","عمان"
ع,"ما هو الفيلم الأمريكي الذي فاز بجائزة الأوسكار لأفضل فيلم عام 1972 وتدور أحداثه حول المافيا؟","العراب"
ع,"لقب يمنح للشخصيات الداعمة مادياً ومعنوياً في الأندية السعودية، ويمتلكون عادة نفوذاً وتأثيراً خاصاً داخل النادي؟","عضو شرف"
ع,"مرادف لكلمة انتهاك؟","عصيان"
ع,"أول نادي عربي حقق دوري أبطال آسيا؟","العين الإماراتي"
ع,"ما هي المعركة التي تم فيها هزيمة المغول على يد المماليك؟","عين جالوت"
ع,"ما كان يطلق قديما على عرب الشمال وهم سكان الحجاز والمناطق المجاورة مثل نجوى تهامة واليمامة","عدنانيين"
ع,"يسمى الخبيث من الجن شيطان أما من اشتدت قوته منهم يسمى","عفريت"
ع,"ما هو الحمل الثقيل على النفس؟","عبء"
ع,"من العلوم المتصلة بالقرآن الكريم ألف فيه أبو عمر والشاطبي والداني؟","علم القراءات"
ع,"ما هو كل شيء ثابت في حيزه لا يمكن نقله منه دون تلف أو تغير في هيئته؟","العقار"
ع,"مجموعة من الأنسجة التي تقوم بعمل وظيفة معينة أو عدة وظائف","العضو"
ع,"شركة عطور تمتاز بعطور وايلد كولت وأرغريس","عساف"
ع,"كلمة تعني القهر والغلبة؟","عنوة"
ع,"تاجر من التجار إذا اقتلعنا عينه طار فمن هو؟","العطار"
ع,"ما هو اسم خيل الملك عبدالعزيز؟","عبية"
ع,"موضع بالقرب من بيسان هزم عنده التتار على يد السلطان قطز والقائد بيبرس؟","عين جالوت"
ع,"فجرت اتنتي عشر عينا ؟","عصا موسى عليه السلام"
ع,"من هو الصحابي الذي أسلم على يد تابعي؟","عمرو بن العاص"
ع,"عالم ومخترع وشاعر أندلسي مسلم، يعرف بأنه أول من حاول الطيران في التاريخ:","عباس بن فرناس"
ع,"ما المقصود بمجموع الأفعال والأعمال التي تنشأ في جماعة ما فتتوارثها؟","عادات"
ع,"ماذا يعني اضطراب الرؤية؟","عدم وضوح الرؤية"
ع,"اسم بمعنى العمر الطويل؟","عمر"
ع,"ما هي أسرع عضلة في جسم الإنسان؟","العين"
ع,"من هو مؤسس مدينة القيروان وجعلها قاعدة حربية ثابتة للجيش؟","عقبة بن نافع"
ع,"ما اسم العملية التي يقوم فيها الجسم بتبادل الغازات مع البيئة؟","عملية التنفس"
ع,"ما هي أول سورة قرآنية نزلت على الرسول صلى الله عليه وسلم؟","العلق"
ع,"موقع شهد معارك حرب الردة في عهد الخليفة أبي بكر الصديق هو","عقرباء"
ع,"ما هو اسم النظام العددي الذي نستخدمه في حياتنا اليومية؟","العشري"
ع,"من هو أول ما آمن من الصبيان بالنبي محمد ﷺ ؟","علي بن أبي طالب"
ع,"ما هو اسم أنثى الضبع؟","أم عامر"
ع,"ما هي المعركة التي هُزم فيها المغول لأول مرة على يد المسلمين؟","عين جالوت"
ع,"هي قواعد غير مكتوبة نشأت من اعتياد الناس على سلوك معين في تنظيم شؤونهم، مع اعتقادهم بوجوب التزامها واكتسابها قوة ملزمة بموجب القانون","العرف"
ع,"من القائل: كنت أعالج وأنمي ولا أزدري ربحاً ولا أشتري شيخاً وأجعل الرأس رأسين؟","عثمان بن عفان"
ع,"هي دولة تطل على مضيق هرمز وتطل على بحر العرب ونظام الحكم فيها ملكي","عمان"
ع,"ما هو أشهر الأسواق عند العرب؟","سوق عكاظ"
ع,"هي إحدى أبرز المعارك الفاصلة في التاريخ الإسلامي استطاع المماليك إلحاق أول هزيمة قاسية بجيش المغول","عين جالوت"
ع,"ما هي العلاقة بين المقاومة والتيار الكهربائي؟","عكسية"
ع,"جريدة النخل المستقيمة؟","عسيب"
ع,"ما هو أضعف البيوت الذي أثبت العلم أن خيوطه أقوى من الفولاذ؟","بيت العنكبوت"
ع,"صحابي جليل من أصحاب الهجرتين، كَتب مصحفًا بيده يُنسب إليه وشهد الغزوات كلها","عبدالله بن مسعود"
ع,"من الخليفة الذي عزل خالد بن الوليد وعين أبا عبيدة بن الجراح؟","عمر بن الخطاب"
ع,"ما المفهوم السياسي الذي يفصل الدين عن الدولة ومؤسساتها؟","علمانية"
