الحرف,السؤال,الإجابة
ط,هي مقدمة الجيش التي تتقدم لمعرفة أحوال العدو,طليعة
ط,احدى قطع الاسطول البحري لها قدرة على المناورة والقتال ومجهزة بالمدافع وتتميز بخفتها وسرعتها,الطراد
ط,ما اسم الجبل الذي رفعه الله فوق بني إسرائيل كالمظلة لإلزامهم بقبول التوراة والعمل بأحكامها بعد أن تراجعوا عن عهدهم؟,طور سيناء (الطور)
ط,ما الكلمة القرآنية التي تصف شجرة في الجنة أو مقاماً حسناً؟,طوبى
ط,أكمل المقولة الشعبية: عنز ولو .........,طارت
ط,ما المصطلح البيولوجي الذي يصف كائناً حياً يعيش داخل كائن حي آخر ويستمد منه غذاءه، ويسبب له الضرر؟,طفيليات
ط,ما التغير المفاجئ والدائم في المادة الوراثية للكائن الحي؟,طفرة
ط,ما هو المصطلح الذي يُطلق على الممارسات أو المعتقدات الخرافية التي تتضمن استخدام رموز أو كلمات يُعتقد أن لها قوى للحماية أو التأثير؟,طلاسم
ط,ما اسم المسلسل الكوميدي السعودي الشهير الذي عُرض في رمضان لسنوات طويلة وناقش قضايا اجتماعية بأسلوب ساخر؟,طاش ما طاش
ط,ما اسم الملك الذي ورد ذكره في القرآن واختاره الله لبني إسرائيل رغم اعتراضهم على فقره؟,طالوت
ط,ما يؤخذ من الأسماك الصغيرة ويقطع لحمه لإغواء الأسماك الأخرى,طعم
ظ,كلمة بمعنى مُتهم أو من نسب إليه ذنب أو جريمة,ظنين
ظ,صوت فيه غنة ينتج من انشقاق الشفة العليا أو انكسار في الثنايا,ظأظأه
ظ,الجزء القرني الصلب في نهاية قدم الحيوانات ذات الحوافر المشقوقة كالأبقار والأغنام؟,ظلف
ظ,الحالة الفسيولوجية الناتجة عن نقص الماء في الجسم؟,ظمأ
ظ,ما هو المصطلح الّذي ورد في القرآن ويعني المعين والنصير؟,ظهير
ظ,ما المصطلح الذي يطلق على المرأة المسافرة في الهودج على ظهر الجمل في القوافل القديمة؟,ظَعينة
ظ,راحلة يُرتحل عليها، أو ما يصلح للأسفار من الإبل؟,ظاعن
ظ,اكمل المثل: ما يحك جلدك غير ….,ظفرك
ظ,مصطلح يصف الحدث الطبيعي الملحوظ أو المُقاس في الكون.,ظاهرة
ظ,مفهوم وعملية قيام المرأة بإرضاع طفل ليس ابنها؟,ظئار
ظ,نمو غير طبيعي لنسيج الملتحمة على سطح العين يمتد نحو القرنية؟,ظفرة
ظ,ماذا تسمى حالة العرج أو المشي غير الطبيعي بسبب مشكلة في الساق أو القدم؟,ظلع
ظ,أين يجتمع المتحابون في الله يوم القيامة؟,ظل عرش الرحمن
ظ,الاسم الخاص بذكر طائر النعام؟,ظليم
ظ,ما هو الوقت الذي تكون فيه الشمس في كبد السماء؟,الظهيرة
ظ,ما هو الاعتقاد غير المؤكد الذي يقع بين الشك واليقين؟,ظن
ظ,ما هو المصطلح القرآني للإساءة التي يلحقها الإنسان بنفسه عندما يعصي الله؟,ظلم النفس
ظ,ما اسم المحافظة العُمانية الجنوبية المشهورة بأشجار اللبان؟,ظفار
ظ,ما اسم من أسماء الله الحسنى يعني الذي ليس فوقه شيء والعالي فوق كل شيء؟,الظاهر
ظ,صفة تطلق على الشخص الخفيف الدم اللطيف سريع البديهة وخفيف الظل,ظريف
ظ,غلاف يستخدم لحفظ الرسائل أو الأوراق,ظرف
ظ,ما هو وضع الشيء في غير موضعه أو إعطاء الحق لغير مستحقه؟,ظلم
ظ,في العصور الوسطى وخاصة في الموروث العربي كان يطلق على بحر المحيط الأطلسي باسم آخر فما هو؟,الظلمات
ظ,نوع من الثدييات الصغيرة تشتهر برائحة قوية ونفاذة تفرزها عند الشعور بالتهديد,ظربان
ظ,ما هي الأحوال والملابسات المحيطة بحدث معين؟,ظروف
ظ,ما اسم الحيوان الصحراوي المعروف بجماله وسرعته ؟,ظَبْي
ع,من هو حارس المرمى السعودي لعب لكلٍ من الأهلي والهلال والاتحاد والشباب؟,عبد الله المعيوف
ع,ما المصطلح الذي يصف تجاوز المصروفات للإيرادات في ميزانية دولة أو مؤسسة؟,عجز
ع,ما هي الخلافة التي حكمت الدولة الإسلامية بعد سقوط الخلافة الأموية؟,الخلافة العباسية
ع,من هو أول ما آمن من الصبيان بالنبي محمد ﷺ ؟,علي بن أبي طالب
ع,من هو التابعي الجليل الذي يُعد من الفقهاء السبعة للمدينة، وكان راوية ثقة عن عائشة رضي الله عنها؟,عروة بن الزبير
ع,الصحابي الذي أعطى مفاتيح الكعبة للرسول عليه الصلاة والسلام؟,عثمان بن طلحة (رضي الله عنه)
ع,ما المصطلح الذي يطلق على الشخص الذي يعمل سراً لصالح دولة أجنبية أو منظمة معادية لجمع المعلومات؟,عميل
ع,هو تعبير يُطلق لوصف أعراض تصيب البطن بعد تناول الطعام، مثل ألم في المعدة وضغط وانتفاخ,عسر الهضم
ع,ما هو الخليج الّذي تطل عليه مدينة الدمام؟,العربي
ع,ما اسم الخلايا التي تنقل الإشارات العصبية في الجسم؟,عصبونات
ع,ماذا يُطلق على عدد 500 إلى 1000 من الإبل؟,العرج
ع,من معجزات سيدنا موسى عليه السلام,العصا
ع,"من هو الصحابي الجليل الذي كان من أوائل من أسلم، وقال فيه النبي صلى الله عليه وسلم ""تقتله الفئة الباغية""؟",عمار بن ياسر
ع,ما هو الدرس أو الموعظة التي يمكن استخلاصها من حدث أو قصة تاريخية؟,عبرة
ع,ما هي المعركة الفاصلة بين المسلمين بقيادة سيف الدين قطز والمغول، والتي أوقفت التوسع المغولي غرباً؟,عين جالوت
ع,ما اسم الرقصة التقليدية التي تُؤدى في بعض دول الخليج العربي؟,العرضة
ع,صحابي جليل دعا ربه أن تطأ عرجته الجنة واستشهد في أحد,عمرو بن الجموح
ع,ما العلم الذي يهتم بدراسة أوزان الشعر العربي وبحوره وتفعيلاته ؟,عروض
ع,الاسم الثاني لناقة الرسول صلى الله عليه وسلم,العضباء
ع,ما اسم المدينة الأردنية الساحلية الوحيدة التي تقع على خليج يحمل اسمها؟,العقبة
ع,ما هو النبع أو البئر الذي يتدفق منه الماء بشكل طبيعي؟,عين
ع,هي قواعد غير مكتوبة نشأت من اعتياد الناس على سلوك معين في تنظيم شؤونهم، مع اعتقادهم بوجوب التزامها واكتسابها قوة ملزمة بموجب القانون,العرف
ع,"دعى له الرسول صلى الله عليه وسلم وقال: اللهم علمه الحكمة وتأويل الكتاب، وعرفه المسلمون باسم ""ترجمان القرآن""",عبدالله بن عباس
ع,ما اسم الدولة الإسلامية التي قامت بعد سقوط الدولة الأموية وجعلت بغداد عاصمة لها؟,الدولة العباسية
ع,سائل ملحي أغلبه ماء تفرزه بعض الغدد الموجودة في الجلد، وظيفته تبريد الجسم عن طريق التبخر,العرق
ع,ما هي المادة التي لا يمكن تجزئتها إلى مواد أبسط منها؟,العنصر
ع,اتفاق يلتزم به شخص أو أكثر بما ورد فيه، وهو في الغالب وثيقة الموقعين عليه,عقد
ع,ما هي وحدة قياس سرعة السفن البحرية؟,العُقدة
ع,ماذا يسمى الإنصاف وإعطاء كل ذي حق حقه؟,عدل
ع,في الشِعر ماذا يسمى نهاية البيت التي تنتهي بالقافية؟,العجز
ع,ما يطلق على الخيل حين تجري للغارة على العدو,العاديات
ع,كلمة بمعنى الأصل والسلالة والمنبع,العِرْق
ع,الرائحة الزكية الطيبة التي تفوح وتنتشر,عبق
ع,مبلغ جزئي يدفع عند توقيع العقد لضمان جدية التعاقد,عربون
ع,أعظم المخلوقات وأولها خلقاً، استوى عليه الرحمن بعد خلق السماوات والأرض,العرش
ع,يهودي الأصل تظاهر بالإسلام، أشعل نار الفتنة في عهد عثمان بن عفان,عبدالله بن سبأ
ع,من هو الخليفة العباسي الذي حكم يومًا واحدًا فقط؟,عبدالله بن المعتز
ع,ما المادة المتكونة في أمعاء أحد أنواع الحيتان، وتُستخدم كمادة مثبتة في صناعة العطور الفاخرة؟,عنبر
ع,ما المقدار الفيزيائي الذي يقيس مدى قدرة القوة على تدوير جسم حول محور؟,عزم
ع,ما اسم الذبيحة التي تُذبح في اليوم السابع من ولادة المولود؟,عقيقة
ع,من أشهر الأسواق العربية القديمة وكان يقام مرة واحدة كل عام لمدة 20 يوم عند ظهور هلال شهر ذو القعدة,عكاظ
ع,من هو أول مولود للمهاجرين في المدينة واستبشر المسلمون بمولده؟,عبدالله بن الزبير بن العوام (رضي الله عنه)
ع,من هو الشاعر الجاهلي الشجاع المعروف بفروسيته وقصائده التي عبر فيها عن حبه لعبلة؟,عنترة بن شداد
ع,ما المفهوم السياسي الذي يفصل الدين عن الدولة ومؤسساتها؟,علمانية
ع,من هو الخليفة الأموي الّذي يُعتبر أول من صك النقود عند العرب؟,عبدالملك بن مروان
ع,ماسم المنطقة التي انتصر بها المسلمون على التتار في فلسطين؟,عين جالوت
ع,ما هو الإجراء الذي يتم بموجبه تنحية مسؤول من منصبه؟,عزل
ع,نوع من التمر يزرع بشكل رئيسي في المدينة المنورة، وتشتهر بلونها الداكن المائل إلى السواد,العجوة / العنبرة
ع,ما هو السبب الجوهري أو الدافع لحدوث شيء ما؟,علة
ع,صحابي جليل من أصحاب الهجرتين، كَتب مصحفًا بيده يُنسب إليه وشهد الغزوات كلها,عبدالله بن مسعود
ع,ما اسم القبيلة العربية البائدة التي ذُكرت في القرآن الكريم بأنها أرسل إليها النبي هود عليه السلام، وعاشت في منطقة الأحقاف؟,عاد
ع,لقب يمنح للشخصيات الداعمة مادياً ومعنوياً في الأندية السعودية، ويمتلكون عادة نفوذاً وتأثيراً خاصاً داخل النادي؟,عضو شرف
ع,ما هو الشيء الذي كلما طال قصر؟,العمر
ع,أحد أقدم أسواق العرب في الجاهلية والإسلام، وملتقى للتجارة والفكر والأدب والثقافة المتنوعة للقبائل العربية,عُكاظ
ع,ما هي الدولة التي تمتلك أكبر احتياطي من الكبريت؟,العراق
ع,وظيفة إدارية وفن إجتماعي هدفها إقامة علاقات التفاهم المتبادل بين المؤسسات والجمهور,العلاقات العامة
غ,ما الفن الشعري الذي يعبر فيه الشاعر عن عواطفه تجاه المحبوب؟,غزل
غ,مالشيء الّذي يسير بلا قدمين ويبكي بلا عيون؟,الغيوم
غ,من هم أحد مستحقي الزكاة الثمانية المذكورين في القرآن الكريم ويقصد بهم المدينون؟,غارمين
غ,"ما الدولة الأفريقية التي عاصمتها أكرا وكانت تسمى ""ساحل الذهب""؟",غانا
غ,أين نزل الوحي على النبي محمد صلى الله عليه وسلم لأول مرة؟,غار حراء
غ,ما نوع الهجوم العسكري المفاجئ والسريع الذي يُنفذ ثم ينسحب المهاجمون؟,غارة
غ,ما الدولة الأفريقية التي عاصمتها كوناكري؟,غينيا
غ,كلمة بمعنى الكثرة والزيادة عن الحد المعتاد وتستخدم لوصف التدفق بكميات كبيرة,غزارة
غ,ما اسم المال المأخوذ من الكفار بالقتال في الإسلام؟,غنيمة
غ,ما الحالة النفسية التي يشعر بها المرء عند ابتعاده عن وطنه وأهله؟,غربة
غ,كل ما استأثر الله تعالى بعلمه، وحجبه عن حواس البشر وعقولهم، ولا يعلمونه إلا بوحي أو إخبار إلهي,الغيب
غ,ما الطائر الذي بعثه الله ليعلم ابن آدم كيفية دفن أخيه؟,الغراب
غ,عملية طبية الهدف منها تنظيف الكليتين ليؤديا وظيفتهما بالشكل الصحيح وذلك بتصفية الدم من الفضلات والسموم,غسيل الكلى
غ,ما الأمر القرآني الذي ورد في سورة النور للمؤمنين والمؤمنات للحفاظ على العفة؟,غض البصر
غ,كلمة بمعنى تثبيت الشيء في الأرض، وتُستخدم مجازيًا للدلالة على ترسيخ المعاني أو الأفكار في العقل,غرس
غ,كلمة بمعنى مثال أو نهج,غرار
غ,حالة يفقد فيها الإنسان القدرة على التنفس بسبب امتلاء رئتيه بالماء، وقد تؤدي إلى الوفاة,الغرق
غ,ماذا يطلق على ذكر السلحفاة؟,غيلم
غ,ماذا يطلق على اليوم الأول من كل شهر هجري؟,غرة
غ,ما اسم القبيلة العربية المسيحية التي حكمت بلاد الشام قبل الإسلام وكانت موالية للروم؟,غسان
غ,من هو الشاعر الذي عُرف بلقب (أخطل) وكان شاعر بني أمية المقرب؟,غياث بن غوث
غ,من مخترع آلة الطباعة الحديثة في القرن الخامس عشر؟,غوتنبرغ
غ,ماذا يسمى جزء الشجرة الذي يحمل الأوراق؟,غصن
غ,ماذا يسمى ستر الذنب وعدم المعاقبة عليه؟,غفران
غ,ما الاسم الذي يُطلق على الحروب التي خاضها المسلمون بقيادة النبي محمد ﷺ؟,غزوات
غ,بماذا تسمى خيانة العهد ونقض الوعد؟,غدر
غ,ما المصطلح الذي يشير إلى جميع النباتات التي تغطي منطقة جغرافية معينة؟,غطاء نباتي
غ,ما اسم بداية ظلام الليل في اللغة العربية؟,الغسق
غ,ماذا يسمى الانفعال النفسي الذي قد يؤدي إلى قرارات غير عقلانية قد يندم عليها الإنسان؟,الغضب
غ,ما المصطلح الشرعي لذكر المسلم أخاه بما يكره في غيابه؟,غيبة
غ,الوصف الذي يطلق على أقصى درجات السواد ويُشير أيضًا إلى نوع من أنواع العنب,غربيب
غ,ما اسم المرض الي يكون فيه موت أنسجة الجسم إما لنقص تدفق الدم إليها أو لإصابتها بعدوى بكتيرية خطيرة,غرغرينا
غ,وصف للدرجة القاتمة التي تميل إلى السواد، وتُستخدم للتعبير عن العمق والقوة في اللون,غامق
غ,ما اسم الغلاف الذي يوضع فيه السيف لحمايته؟,غمد
غ,ما هي الطبقة غير المرئية المحيطة بالأرض بفعل الجاذبية والتي تحتوي على طبقة الأوزون؟,الغلاف الجوي
غ,رياضة مائية تتضمن النزول تحت سطح الماء لاستكشاف العالم البحري,الغوص
غ,ماذا يسمى الميل الفطري الطبيعي الذي يدفع الكائن الحي نحو سلوك معين دون الحاجة لتعلم مسبق؟,غريزة
غ,ماذا تسمى حالة انعدام الوضوح حيث يحتمل الشيء أكثر من تفسير مما يؤدي إلى التباس في الفهم؟,غموض
غ,ما اسم الكائن الخرافي الّذي يتصف بالوحشية والضخامة وكان العرب قديمًا يخافون منه في الصحراء؟,الغول
غ,مصطلح بمعنى تمني شيء عند الآخرين دون تمني زواله,غبط
غ,شاعر وأديب وكاتب وسفير دبلوماسي ووزير سعودي وكان له عدداً كبيراً من المؤلفات في شتى المواضيع,غازي القصيبي
غ,ماذا يسمى المستولي على مال غيره عنوةً وقهرًا بدون حق أو رضا صاحبه؟,غاصب
غ,اسم يطلق على الأصول التي يحتفظ بها البنك المركزي من ذهب وأوراق مالية لضمان قيمة العملة التي يصدرها,الغطاء النقدي
غ,ماذا تسمى العقوبة المالية التي تفرض على المخالف للقانون؟,غرامة
غ,ماذا يطلق على المطر الذي يأتي بعد الجفاف؟,غيث
غ,مزيج من الأفكار والمشاعر تنتاب الشخص عند شعوره بتهديد لعلاقته بمن يحب أو رغبته في حماية حقه وشرفه,غيرة
غ,ما المركبة البحرية التي تستطيع السير تحت سطح الماء لفترات طويلة؟,غواصة
غ,ما النسيج الضام المرن الذي يغطي نهايات العظام في المفاصل؟,غضروف
غ,ما مصطلح التجاوز في الدين والمبالغة فيه بما يخرج عن حدود الشرع؟,غلو
غ,ما هي الدولة التي عاصمتها أكرا؟,غانا
غ,ما آخر معاقل المسلمين في الأندلس التي سقطت عام 1492م؟,غرناطة
غ,من قبائل العرب الشمالية من ذبيان وعبس,غطفان
ف,ما مرادف كلمة بليغ؟,فصيح
ف,ما اسم الفريق الفائز في أول نسخة من بطولة كأس العالم للرياضات الإلكرتونية؟,فالكونز
ف,ما المصطلح العلمي للتفسير المؤقت الذي يحتاج إلى اختبار وإثبات؟,فرضية
ف,ما هو النشاط الفكري الذي يبحث في الأسئلة الأساسية حول الوجود والمعرفة والقيم؟,الفلسفة
ف,ما هي أصغر دولة في العالم من حيث المساحة؟,الفاتيكان
ف,ما العلم الذي يختص بمعرفة أحوال الناس من خلال ملامحهم وسلوكهم؟,فراسة
ف,من هو الحاكم الروماني العربي الوحيد الّذي حكم الإمبراطورية الرومانية؟,فيليب العربي
ف,ما هو الجسيم الأولي المسؤول عن نقل القوة الكهرومغناطيسية؟,فوتون
ف,ما السمة اللغوية التي تعني وضوح المعنى مع جمال التعبير؟,فصاحة
ف,من هو الشاعر الذي اشتهر بعداوته الشديدة والمستمرة لجرير في الأدب العربي؟,الفرزدق
ف,نبات عشبي صغير الحجم أوراقه ثلاثية وثمرته قمعية الشكل حمراء اللون,الفراولة
ف,"ما اسم الدولة الأوروبية الّتي تلقب بـ""أرض الألف بحيرة""؟",فنلندا
ف,ما اسم التراث الشعبي الذي يشمل الحكايات والأساطير والعادات والتقاليد المنقولة عبر الأجيال؟,فلكلور
ف,تجويف أو انتفاخ بسيط في المعدن أو الزجاج من أثر النفخ,فقاعة
ف,"ما هي السورة الملقبة بـ""أم الكتاب""؟",الفاتحة
ف,قطع صغيرة ملونة من الرخام، تُشكل مع بعضها شكلًا فنيًا,فسيفساء
ف,كلمة تعني جماعة أو مجموعة من الناس تسير أو تأتي معًا,فوج
ف,ما هو العلم الذي يختص بدراسة الأجرام السماوية وحركاتها؟,الفلك
ف,ماذا يسمى العدد الذي لا يقبل القسمة على 2 إلا بوجود كسور؟,فردي
ف,ما المصطلح الفيزيائي للحيز الخالي من المادة؟,فراغ
ف,ما الصفة التي تدل على سرعة فهم الشخص للأمور المعقدة وذكائه الحاد؟,فطنة
ف,ما اسم البركان الذي يُعد من أشهر البراكين في إيطاليا ويقع بالقرب من مدينة نابولي؟,فيزوف
ف,ماذا يسمى صوت الأفعى؟,فحيح
ف,ماذا يطلق على الذكاء وسرعة الفهم وحُسن التصرّف؟,فطنة
ف,ما هو أسرع حيوان بري في العالم؟,الفهد
ف,ما المصطلح الذي يطلق على النظام السياسي المستبد الذي قاده موسوليني في إيطاليا؟,فاشية
ف,ما هي العناصر الكيميائية الموصلة للحرارة والكهرباء؟,فلزات
ف,ما هو أول جهاز اخترع لتسجيل الصوت عام 1887م؟,الفونوغراف
ف,ما اسم الشعوب الإسكندنافية التي اشتهرت بالغزو والملاحة في العصور الوسطى؟,فايكنج
ف,ما اسم العلم الذي يُعنى بدراسة الأحكام الشرعية العملية المستنبطة من الأدلة التفصيلية؟,الفقه
ف,ما المصطلح السياسي الذي يعني حق النقض في مجلس الأمن الدولي؟,فيتو
ف,ما اسم الحدث الذي دخل فيه المسلمون على قريش دون قتال في السنة الثامنة للهجرة؟,فتح مكة
ف,ما النشاط الإنساني الذي يهدف إلى التعبير عن الجمال والمشاعر بأشكال متنوعة؟,فن
ف,ما هي أول عاصمة إسلامية لمصر أسسها عمرو بن العاص (رضي الله عنه) عام 641م؟,الفسطاط
ف,"من هو مؤلف رواية ""البؤساء""؟",فيكتور هوغو
ف,مالعملة الرسمية لجمهورية سويسرا؟,الفرنك
ف,هو من لا يملك قوت يومه ولا تكفيه موارده، ومستحق للزكاة والكفارة,الفقير
ف,نبات موطنه أمريكا تستخدم ثماره في الحصول على محلول أو مسحوق يضاف إلى الأطعمه ليكسبها نكهة طيبة,فانيليا
ف,ما هي السورة التي تحوي جميع الحروف الأبجدية في آخر آية مظاهر الإعجاز البياني في القرآن الكريم؟,سورة الفتح
ف,ما هي أطول كلمة في القرآن الكريم وتتكون من 11 حرفاً؟,فأسقيناكموه
ف,ما العملية التي تتضمن تصنيف وترتيب المعلومات لتسهيل الوصول إليها؟,فهرسة
ف,ما هي أكبر بحيرة في قارة أفريقيا وثاني أكبر بحيرة في العالم؟,بحيرة فيكتوريا
ف,ما اسم أول عاصمة إسلامية في مصر أسسها عمرو بن العاص؟,فسطاط
ف,ما هو العلم الذي يُعنى بدراسة تقسيم التركة بين الورثة حسب الشريعة الإسلامية؟,علم الفرائض
ف,ما نظام الحكم الذي يقوم على توزيع السلطات بين الحكومة المركزية وحكومات الولايات؟,فيدرالية
ف,ماذا تسمى سلسلة العظام غير المنتظمة وهي المسؤولة عن تأمين الدعم والحركة للجسم؟,فقرات
ف,ما هي أكبر جزيرة في المملكة العربية السعودية من حيث المساحة والسكان؟,جزيرة فرسان
ف,ما اسم رئيس نادي الشعلة السابق والّذي استمر برئاسة النادي 14 سنة؟,فهد الطفيل
ف,ما هو العام الّذي ولد فيه النبي صلى الله عليه وسلم؟,عام الفيل
ف,ما هي عاصمة جمهورية النمسا؟,فيينا
ف,ما هو المصطلح الذي يعبّر عن ناتج الطرح ومقدار التغير بين رقمين؟,الفرق
ف,قال حكيم: انفرد بسرك ولا تودعه حازمًا فيزل ولا جاهلًا ....,فيخون
ف,غاز كان سبباً في ثقب طبقة الأوزون، واستُخدم لعقود في أجهزة التبريد والتكييف,الفريون
ف,من هو اللاعب الذي سجل هدف المنتخب السعودي على اليابان والّذي أهل المنتخب إلى كأس العالم 2018؟,فهد المولد
ف,مقياس قديم للمسافات يطلق على الثلاثة أميال,فرسخ
ف,ما اللقب الذي كان يطلق على ملوك مصر القديمة؟,الفراعنة
ف,من هو الفيزيائي الألماني الّذي اخترع ميزان لمعرفة السوائل وقسّم ميزان الحرارة على درجات عُرفت باسمه؟,فهرنهايت
ق,ما اسم أول مدينة إسلامية أسست في شمال أفريقيا على يد عقبة بن نافع؟,القيروان
ق,أحد الآيات التي أرسلها الله على قوم فرعون عقابًا لهم على استكبارهم,القمل
ق,ما نوع الزاوية التي يكون قياسها 90 درجة؟,زاوية قائمة
ق,ما الاسم القديم لمدينة إسطنبول والتي كانت عاصمة الإمبراطورية البيزنطية؟,القسطنطينية
ق,ما هي أعلى نقطة في الجبل أو السلسلة الجبلية؟,قمة
ق,ما الظاهرة الضوئية التي تظهر بسبب انكسار ضوء الشمس في قطرات الماء؟,قوس قزح
ق,ما هي السورة رقم 28 في القرآن الكريم والتي تحكي عن سيدنا موسى وفرعون؟,قصص
ق,ما يطلق على الحلقات المعدنية الدائرية لتثبيت المواسير الخارجية في الحوائط؟,قفيز
ق,ما اسم الحركة الباطنية التي سرقت الحجر الأسود من الكعبة لمدة 22 عاماً؟,قرامطة
ق,ما هي النقطة التي تمر عبرها المحاور الوهمية التي تدور حولها الأرض أو المغناطيس؟,قطب
ق,ماذا يسمى الخط المستقيم الذي يمر بمركز الدائرة ويصل بين نقطتين على محيطها؟,القطر
ق,ما هو المصدر الرابع من مصادر التشريع الإسلامي الذي يقوم على إلحاق واقعة لا نص فيها بواقعة ورد فيها نص لاشتراكهما في العلة؟,قياس
ق,مجموعة المبادئ وقواعد السلوك التي تحكم العلاقات بين الدول في حالتي السلم والحرب,القوانين الدولية
ق,ما هي مجموعة القواعد الملزمة التي تنظم سلوك الأفراد في المجتمع؟,القوانين
ق,ماذا يسمى الهيكل العظمي الذي يحيط بالرئتين والقلب ويحميهما؟,القفص الصدري
ق,منطقة بنجد بين جبل شمر ومنطقة الوشم وتعتبر تاريخياً منطقة تجارية وزراعية هامة,القصيم
ق,ما هو الحيوان الذي يبني السدود ويعيش بالقرب من الأنهار والجداول؟,القندس
ق,ما المصطلح العلمي الذي يعبر عن مقاومة الجسم لتغيير حالته الحركية؟,القصور الذاتي
ق,ما هي المناطق المنخفضة جداً في المحيطات والتي قد تصل إلى آلاف الأمتار؟,قيعان
ق,من هو الشخص الذي ذُكر في القرآن كمثال للغنى الفاحش والذي خسف الله به الأرض؟,قارون
ق,ما هي أقوى عضلة في جسم الإنسان من حيث القدرة على التحمل؟,عضلة القلب
ق,ما اسم المدينة الأندلسية التي كانت عاصمة الأندلس ومركزاً علمياً في أوروبا؟,قرطبة
ق,مسجد يقع بالطرف الشمالي الغربي من المدينة المنورة شهد حدث تحول القبلة إلى الكعبة أثناء الصلاة,القبلتين
ق,سلاح حربي يطلق تياراً من النار المشتعلة باتجاه الهدف، ويستخدم لمسافات قصيرة في اقتحام التحصينات,قاذفة اللهب
ق,ما هو الجُرم السماوي الذي يتسبب في ظاهرتي المد والجزر؟,القمر
ق,مالجزء الوحيد في جسم الإنسان الذي لا يحتوي على أوعية دموية,القرنية
ق,ما هي الحركة التي تدعو إلى تعزيز مصالح أمة معينة على أساس هويتها المشتركة ونهى عنها الإسلام؟,قومية
ق,من هو القائد المملوكي الذي قاد المسلمين إلى النصر في معركة عين جالوت ضد المغول؟,قطز
ق,صحابي جليل كان من دهاة العرب وكان شديد الكرم حتى ضرب به المثل,قيس بن سعد (رضي الله عنه)
ق,ما هي العملية التي يتم من خلالها تحديد مواجهات الفرق في البطولات الرياضية؟,قرعة
ق,طريقة للمفاضلة والاختيار بين خيارات متساوية لا يمكن الترجيح بينها بمعيار موضوعي,القرعة
ق,وحدة قياس عالمية لقياس وزن الذهب والألماس والأحجار الكريمة,القيراط
ق,مصطلح فيزيائي يصف معدل إنجاز الشغل ووحدته الواط,القدرة
ق,ما هو اللقب الذي كان يطلق على حكام الإمبراطورية الرومانية؟,قيصر
ق,ما هي حالة الجفاف الشديد التي تستمر لفترات طويلة وتؤثر على الزراعة؟,قحط
ق,أين يقع المقر الرئيسي لجامعة الدول العربية؟,القاهرة
ق,نبات عشبي طويل القامة يشبه الخيزران، ينتج عصير حلو يُنتج منه السكر الأبيض,قصب السكر
ق,ما هو الحيوان الذي لا يمتلك هيكلاً عظمياً؟,قنديل البحر
ق,ما هي أول جامعة في العالم العربي والعالم وتقع في مدينة فاس في المغرب؟,جامعة القرويين
ق,الاسم العربي الأصيل لكل ولاعة تستخدم لإيقاد النار,قداحة
ق,وعاء يُجعل فيه الشراب والأدوية والمنتجات الكيميائية، ويُطلق أيضًا على الزجاج الشفاف,القارورة
ق,نموذج يستخدم لتشكيل المعادن والمواد بشكل متسق وثابت,القالب
ق,"عالم عربي وصف اختلاف الرياح وتأثيراتها المتنوعة على السحب والأشجار والزرع في كتابه ""عجائب المخلوقات""",القزويني
ق,ما اسم المعركة الفاصلة التي قادها سعد بن أبي وقاص وانتهت بسقوط الدولة الفارسية؟,القادسية
ق,ما أول شيء خلقه الله تعالى وأقسم به في القرآن الكريم؟,قلم
ق,كلمة تطلق على نهاية البيت الشعري؟,القافية
ق,ما هي البعثة الدبلوماسية التي تمثل مصالح دولة في مدينة أجنبية؟,قنصلية
ق,ما هو أول مسجد بُني في الإسلام عند وصول النبي ﷺ للمدينة المنورة؟,قباء
ق,ما هو المفهوم الإسلامي الذي يمثل علم الله تعالى بما تكون عليه المخلوقات في المستقبل؟,القدر
ق,أول مسجد بُني في الإسلام، وقد ذكره الله في القرآن بأنه أُسس على التقوى,مسجد قباء
ق,ما الاسم الذي يُطلق على الممر المائي الذي يُستخدم لمرور السفن بين المحيطات أو البحار؟,قناة
ق,الحيوان الذي يصاب بمرض الحصبة مثل الإنسان، حيث يعتبر مضيفاً قابلاً للعدوى والإصابة بها,القرد
ك,ما هي القبيلة العربية التي ينتمي إليها امرؤ القيس؟,كندة
ك,ما هو أول طعام أهل الجنّة؟,كبد الحوت
ك,ما اسم الغدة التي تُفرز الأدرينالين وتُجهز الجسم لمواجهة المواقف الطارئة؟,الغدة الكظرية
ك,ما اسم العضو المسؤول عن إزالة السموم وإنتاج المادة الصفراء الّتي تساعد على الهضم وتفكيك الدهون؟,كبد
ك,ما هو اللقب الذي كان يطلق على ملوك الفرس؟,كسرى
ك,ما هو المصطلح الذي يعبر عن النضال المستمر ضد الصعاب لتحقيق هدف محدد؟,كفاح
ك,ما هي المدينة التي استشهد فيها الحسين بن علي سنة 61هـ؟,كربلاء
ك,ماذا تسمى الطاقة الناتجة عن حركة الإلكترونات؟,كهرباء
ك,ما هو إخفاء العلم النافع الذي نهى عنه النبي ﷺ؟,كتمان
ك,ما هو اسم المقر الرئاسي الروسي الواقع في موسكو؟,كرملين
ك,ما هو الاسم العلمي لمقياس كمية المادة في الجسم والذي يقاس بالكيلوغرام؟,كتلة
ك,ما هي القبيلة التي تنتمي إليها قريش؟,كنانة
