letter,question,answer
ط,"ماهو التعصب والولاء بشكل مفرط لجماعة معينة بناءً على روابط عقدية مما يؤدي إلى الانقسام داخل المجتمع الواحد؟","الطائفية"
ط,"ما هو المصطلح الذي يُطلق على الممارسات أو المعتقدات الخرافية التي تتضمن استخدام رموز أو كلمات يُعتقد أن لها قوى للحماية أو التأثير؟","طلاسم"
ط,"ما هو الطائر الجارح الذي يُستخدم في الصيد ويُعرف بسرعته ومهارته؟","طائر الصقر"
ط,"هي عملية تحويل حبوب القمح والذرة إلى دقيق","الطحن"
ط,"ما المرحلة المبكرة من حياة الإنسان التي تمتد من الولادة حتى المراهقة؟","طفولة"
ط,"ما هي الآلة الموسيقية الوترية التي تشبه العود وتستخدم في الموسيقى الشرقية؟","طنبور"
ط,"ما اسم قناة الأطفال العربية الشهيرة التي تقدم الأناشيد والبرامج التعليمية؟","طيور الجنة"
ط,"قوة مستمدة من أشعة الشمس قادرة على توليد الحرارة مباشرة وإحداث التفاعلات الكيميائية وإنتاج الكهرباء","الطاقة الشمسية"
ط,"ما هو الطائر الذي يتميز بقدرته على تقليد الأصوات والكلام البشري؟","طائر الببغاء"
ط,"ما اسم المسلسل الكوميدي السعودي الشهير الذي عُرض في رمضان لسنوات طويلة وناقش قضايا اجتماعية بأسلوب ساخر؟","طاش ما طاش"
ط,"ما هو الجهاز الذي يرتديه الأشخاص حول الخصر أو الصدر للمساعدة في الطفو على الماء؟","طوق نجاة"
ط,"من هو عميد الأدب العربي الذي ألف كتاب ""الأيام""؟","طه حسين"
ط,"هو أبغض الحلال عند الله","الطلاق"
ط,"ما المصطلح الذي يدل على لحظة بدء انبلاج ضوء الصباح قبل شروق الشمس؟","طلوع الفجر"
ط,"ما هو الطبق المغربي الشهير الذي يطهى في إناء فخاري مخروطي الشكل؟","طاجين"
ط,"ما هو الطائر الذي يشتهر بتقليد أصوات الطيور الأخرى وغالباً ما يتجمع في أسراب كبيرة؟","طائر الزرزور"
ط,"ما هي إحدى الطبقات الرئيسية التي تحيط بكوكب الأرض وتحتوي على الهواء الذي نتنفسه؟","طبقة الغلاف الجوي"
ط,"جبل شامخ ومَعلم طبيعي بارز يقع في محافظة عقلة الصقور، يشتهر بلونه الأسود المحمر ويُعد مقصدًا لهواة الهايكنج والتخييم","جبل طمية"
ط,"ما السورة القرآنية التي تبدأ بالحروف المقطّعة (طه)؟","طه"
ط,"ما هي عاصمة إيران؟","طهران"
ط,"ما هو الوضع الذي يتطلب استجابة فورية وعاجلة بسبب خطر أو مشكلة خطيرة؟","طوارئ"
ط,"ما الدولة الآسيوية الواقعة في وسط القارة، وعاصمتها دوشنبه؟","طاجيكستان"
ط,"ما هو شكل الطاقة المتجددة المستمدة من حرارة باطن الأرض؟","طاقة جيوحرارية"
ط,"ما هي المركبة الجوية التي تستخدم محركات نفاثة أو مراوح للدفع؟","طائرة"
ط,"ما الطاقة المتجددة التي تعتمد على استغلال أشعة الشمس في توليد الكهرباء؟","طاقة شمسية"
ط,"ما هو الطائر المعروف بوضع بيضه في أعشاش طيور أخرى؟","طائر الوقواق"
ط,"شخص نقي، بريء، خالٍ من العيوب.","طاهر"
ط,"ما الاسم العام للإجراءات أو الاحتفالات الرسمية ذات الطابع الديني أو الثقافي المتوارث؟","طقوس"
ط,"ماذا يسمى الماء الباقي على خلقته ولم يتغير ويجوز استخدامه للوضوء","طهور"
ط,"الدور من البناية أو الدور؟","طابق"
ط,"ماذا يسمى الشخص الذي يتظاهر بالمعرفة أو الأهمية وهو في الواقع ليس كذلك؟","طرطور"
ط,"ما هي الصلصة المصنوعة من بذور السمسم المطحونة، وتستخدم في العديد من الأطباق الشرق أوسطية؟","طحينة"
ط,"ما المصطلح الفقهي الذي يدلّ على بقاء المسلم في نقاء بدني دون حدث مبطل؟","طهارة"
ط,"ما هو العضو الموجود في جسم الإنسان الذي يقوم بتنقية الدم وإنتاج العصارة الصفراوية؟","الطحال"
ط,"ما الفعل الذي يقوم به الطائر عند رفرفة جناحيه وارتفاعه عن الأرض؟","طيران"
ط,"ما هو البحر الشعري الذي يبدأ بـ""فعولن مفاعيلن فعولن مفاعلن""؟","الطويل"
ط,"ما هي عاصمة جمهورية أوزبكستان التركستانية؟","طاشكند."
ط,"في الشخصيات، من أشهر الخطاطين في بلاط أحمد بن طولون.","طبطب"
ط,"في الجغرافيا، مدينة وبناء فرنسي على البحر الأبيض المتوسط وتشتهر بصناعة السفن الحربية.","طولون"
ط,"ما هو نوع الطريق المصمم للسفر السريع بين المدن أو المناطق؟","طريق سريع"
ط,"ما معنى كلمة صامط؟","طعام قليل الملح"
ط,"ماذا نسمي مجموعة الألوان التي تنتج عن تحليل الضوء الأبيض؟","طيف"
ط,"ما هو النطاق الكامل للألوان التي يمكن رؤيتها عند تحليل الضوء الأبيض؟","طيف ضوئي"
ط,"أكمل المقولة الشعبية: عنز ولو .........","طارت"
ط,"ماذا نسمي الأنماط أو الأساليب المميزة في الفن أو العمارة أو التصميم؟","طرز"
ط,"ما هي المدينة الساحلية السورية التي تقع على البحر الأبيض المتوسط؟","طرطوس"
ط,"ما هو الطائر الذي يُعرف بجمال ريشه الملون ويُعتبر رمزًا للجمال في بعض الثقافات؟","طائر الطاووس"
ط,"ما هي الآلة الموسيقية الإيقاعية التي تتكون من غشاء مشدود على إطار وتضرب باليد أو بالعصا؟","طبل"
ط,"أكمل المثل الشعبي: لو فيه خير ما عافه ..........","الطير"
ط,"ما هو الاسم الذي يُطلق على الممالك الإسلامية الصغيرة التي ظهرت في الأندلس بعد سقوط الخلافة الأموية في قرطبة؟","طوائف"
ط,"ما هو اسم الجبل الذي كلم الله عليه موسى عليه السلام، ويقع في شبه جزيرة سيناء؟","طور"
ط,"من أهم مدن وموانئ لبنان الشقيقة؟","طرابلس"
ط,"ما هي الأداة التي تستخدم لرش الدهانات أو السوائل الأخرى؟","طرطوشة"
ط,"من هو الفنان السعودي الشهير الملقّب بالحنجرة الذهبية وصاحب أغنية ""مقادير""؟","طلال مداح"
ط,"ما هو الطائر الأسود الذي يشتهر بذكائه وصوته المميز؟","طائر الغراب"
ط,"ما السفينة الحربية السريعة المزوَّدة بالصواريخ والمدافع؟","طراد"
ط,"عميد الأدب العربي؟","طه حسين"
ط,"ما الحركة الأفغانية التي ظهرت في التسعينيات وسيطرت على أجزاء واسعة من أفغانستان؟","طالبان"
ط,"ما هي المادة المسحوقة التي تصنع من حبوب القمح أو غيرها من الحبوب وتستخدم في صناعة الخبز؟","طحين"
ط,"من القائل: ""وظلم ذوي القربى أشد مضاضة على النفس من وقع الحسام المهندي""؟","طرفة بن العبد."
ط,"مسلسل تلفزيوني رمضاني كوميدي سعودي من بطولة عبدالله السدحان وناصر القصبي","طاش ما طاش"
ط,"ما المادة البيضاء الناعمة التي تُستخدم للكتابة على السبورات التقليدية؟","طباشير"
ط,"ما هو النمط الفني الذي ازدهر في أوروبا في القرن السابع عشر والثامن عشر، ويتميز بالزخرفة والتفاصيل المعقدة؟","طراز باروكي"
ط,"ما هو تعريف اللعن في الإسلام؟","الطرد والإبعاد عن رحمة الله"
ط,"ما الحيوان الجبلي المعروف بقرونه المعقوفة ويعيش في جبال عُمان والإمارات؟","طهر عربي"
ط,"شريط من الأرض يُشق ويُمهد تسهيلًا لانتقال المشاه والمركبات من مكان إلى آخر","طريق"
ط,"ما الأداة الزراعية التي تشبه المجرفة ويُحرَث بها الأرض؟","طورية"
ط,"أكمل المثل الشعبي: كلٍ يرى الناس بعين .........","طبعه"
ط,"ما اسم القوة التي تدفع جسماً يتحرك في مسار دائري إلى الخارج بعيداً عن مركز الدوران؟","الطرد المركزي"
ط,"ما الحالة النفسية التي يشعر فيها الفرد بالهدوء والسكينة بعد زوال القلق؟","طمأنينة"
ط,"ما هي التكوينات الجيولوجية التي تتكون من رواسب متراكمة عبر الزمن؟","طبقة الصخر"
ط,"ما الغطاء التقليدي للرأس الذي اشتهر في بلدان الشام ومصر قديمًا؟","طربوش"
ط,"ما الذي يمر من خلال المدن والحقول ولكنه لا يتحرك أبدًا؟","الطريق"
ط,"ما هو العضو اللمفاوي الذي يلعب دورًا في جهاز المناعة وتصفية الدم؟","طحال"
ط,"ما هو الشيء الغامض أو السحري الذي يُعتقد أنه يجلب الحظ أو يمنع الشر؟","طلسم"
ط,"ما هي عاصمة أوزبكستان؟","طشقند"
ط,"من هو الشاعر الجاهلي صاحب إحدى المعلّقات ويُدعى طرفة بن…؟","طرفة بن العبد"
ط,"ما هو اسم الطائر المائي الكبير ذو الرقبة الطويلة والريش الأبيض؟","طائر البجع"
ظ,"إساءة الإنسان لنفسه وارتكاب المعاصي والذنوب بقول أو فعل خارج عن حدود شرع الله أو الأخلاق يسمى بـ","ظلم النفس"
ظ,"من هو القائد المسلم الملقب بأبي الفتوح؟","الظاهر بيبرس"
ظ,"ما هو المصطلح الذي يطلق على الوقت الذي يسبق غروب الشمس بقليل، أو الفترة التي يشتد فيها سواد الليل؟","ظلام"
ظ,"ما الجزء الصلب في طرف الأصابع ويُقصّ باستمرار؟","ظفر"
ظ,"المنطقة الخلفية في جسم الإنسان، والتي ترتفع من أعلى الأرداف إلى مؤخرة العنق؟","الظهر"
ظ,"بمعنى فاز به وناله","ظفر"
ظ,"ما الكلمة العربيّة التي تعبِّر عن العطش الشديد؟","ظمأ"
ظ,"ما الجور والتعدّي على حقوق الآخرين دون وجه حق؟","ظلم"
ظ,"شيء يكسو الناس وهو عارٍ؟","الظل"
ظ,"ما هو مرادف كلمة جور؟","ظلم"
ظ,"ما الفعل الذي يعني اعتقد أو رجَّح حدوث شيء دون التأكد منه؟","ظن"
ظ,"ما الذي حرمه الله سبحانه وتعالى على نفسه؟","الظلم"
ظ,"ما اسم أحد سلاطين الدولة المملوكية الذي حكم في القرن الثالث عشر؟","الظاهر بيبرس"
ظ,"ما هو الحيوان الذي يشبه الغزال ويعيش في البراري؟","ظباء"
ظ,"مركز في كرة القدم؟","ظهير"
ظ,"ما الصفة المبالغ فيها لِمَن يفرط في الجور والتعدّي؟","ظلوم"
ظ,"ما هو اسم ذكر النعام في اللغة العربية والذي يبدأ بحرف الظاء؟","ظليم"
ظ,"ما هي الأحوال والملابسات المحيطة بحدث معين؟","ظروف"
ظ,"ما التسريحة المصنوعة من تجديل شعر الرأس في خُصلٍ ملتفّة؟","ظفيرة"
ظ,"ما هو الحرف الذي لم يذكر في أسماء سور القرآن؟","الظاء"
ظ,"في أي محافظة سعودية يوجد أثر طريق الفيل الذي سلكه أبرهة الحبشي لهدم الكعبة؟","ظهران الجنوب"
ظ,"ماذا يطلق على ذكر النعام؟","ظليم"
ظ,"يوجد في نهاية أرجل الحيوانات المجترة كالجمال والبقر، وهو بمنزلة الحوافر للأحصنة؟","ظلف"
ظ,"ما الاسم الذي كان يُطلق قديمًا على الهودج الذي تُحمل فيه المرأة أثناء الترحال؟","ظعينة"
ظ,"لا يرى إلا في النهار أو عند وجود الضوء","ظل"
ظ,"في اللغة يطلق على حد سيف أو سنانه ونحوه؟","الظبة"
ظ,"الجزء القرني الصلب في نهاية قدم الحيوانات ذات الحوافر المشقوقة كالأبقار والأغنام؟","ظلف"
ظ,"ما هو الشيء الذي يدخل الماء ولا يبتل؟","الظل"
ظ,"كلمة تأتي بمعنى (رحل وتنقل من مكان لمكان)","الظعن"
ظ,"ما الاسم الذي يُطلق على الصفيحة القرنية التي تغطي أطراف أصابع اليدين والقدمين لدى الإنسان؟","ظفر"
ظ,"نضع فيه الأوراق هو؟","ظرف"
ظ,"ما معنى البنان؟","الظفر"
ظ,"ما هي أول صلاة صلاها النبي صلى الله عليه وسلم؟","الظهر"
ظ,"ما هي القضية التي تعالجها سورة المجادلة؟","الظهار"
ظ,"ما الاسم الدالّ على التوقع والترجيح بلا يقين؟","ظن"
ظ,"نوع من الثدييات الصغيرة تشتهر برائحة قوية و نفاذة تفرزها عند الشعور بالتهديد","ظربان"
ظ,"ما الجمع الذي يُطلق على الاعتقادات أو الشكوك التي قد تكون صائبة أو خاطئة؟","ظنون"
ظ,"بمعنى النصر","الظفر"
ظ,"ما التفسير الذي يكتفي بالمعنى السطحي من الكلام دون تأويل باطنه؟","ظاهر النص"
ظ,"شيء يوضع فيه الرسالة","ظرف"
ظ,"مرادف للفكاهة والدعابة؟","ظرافة"
ظ,"ما المفهوم النحويّ الذي يشير إلى اسم يدل على زمان أو مكان؟","ظرف"
ظ,"ما هو وضع الشيء في غير موضعه أو إعطاء الحق لغير مستحقه؟","ظلم"
ظ,"ما الحالة التي تدل على غياب الضوء وانتشار العتمة؟","ظلام"
ظ,"ما الفعل الذي يعني الارتحال والابتعاد من مكانٍ لآخر؟","ظعن"
ظ,"ما المصطلح الفقهيّ الجاهليّ الذي يُشبِّه الزوجة بالمحرّمات فيحرِّمها على نفسه؟","ظهار"
ظ,"ما الجزء الصلب في قدم الحيوانات كالأغنام والماعز يُسمّى الحافر المشقوق؟","ظلف"
ظ,"قال تعالى: { فَكَذَّبُوهُ فَأَخَذَهُمْ عَذَابُ يَوْمِ ........... إِنَّهُ كَانَ عَذَابَ يَوْمٍ عَظِيمٍ }","الظلة"
ظ,"ما هي الكلمة التي تعني في اللغة دام واستمر؟","ظل"
ظ,"ماذا يطلق في اللغة على أصل الشجرة؟","الظنب"
ظ,"أكمل الآية، قال تعالى في سورة الشرح: { وَوَضَعْنَا عَنْكَ وِزْرَكَ ۞ الَّذِي أَنْقَضَ .......... }","ظهرك"
ظ,"في النحو: اسم دل على زمان الحدث أو مكانه؟","ظرف"
ظ,"يطلق على المحيط الأطلسي قديماً بحر ماذا؟","الظلمات"
ظ,"ما هو الشيء الذي إذا وضعت عليه الماء لا يبتل؟","الظل"
ظ,"ما هو المصطلح الذي يُطلق على بروز صغير في جسم الإنسان يُرى أحيانًا أسفل الظفر؟","الظفرة"
ظ,"ما هي الناقة السوداء أو التي تغلب عليها السمرة؟","الظمياء"
ظ,"ما المصطلح الذي يُعبِّر عن المساحة المظللة التي تُشكِّلها الأجسام عند اعتراضها لأشعة الشمس؟","ظل الشمس"
ظ,"ما الصفة التي تُطلق على الرأي أو الحكم القابل للخطأ لعدم كفاية الأدلة؟","ظن"
ظ,"ما المصطلح الذي يُطلق على وقت انتصاف النهار عندما تكون الشمس في أعلى موضع لها؟","ظهيرة"
ظ,"ما اسم المحافظة العُمانية الجنوبية المشهورة بأشجار اللبان؟","ظفار"
ظ,"ما هو الشيء الذي يدخل الماء ولا يتبلل؟","الظل"
ظ,"ما هو اللفظ الذي يطلق على حد السيف؟","ظبة"
ظ,"ماذا تسمى المرأة التي ترضع غير ولدها؟","ظئر"
ظ,"ما هو الشيء الذي يخاف منه الجميع ولكن لا يؤذي أحدًا؟","الظلام"
ظ,"مكان مرتفع ويشتهر بكثرة الأشجار","الظهرة"
ظ,"اسم حيوان صغير يُصدر رائحة كريهة للدفاع عن نفسه؟","ظربان"
ظ,"ما هو المصطلح الذي يطلق على العرج البسيط في المشي؟","ظلع"
ظ,"أستطيع العيش فقط إذا كان الضوء موجوداً لكنني أموت إذا سطع الضوء عليّ، فمن أنا؟","الظل"
ظ,"أكمل الآية، قال تعالى: { وَلَوْ أَنَّ لِكُلِّ نَفْسٍ ............ مَا فِي الْأَرْضِ لَافْتَدَتْ بِهِ وَأَسَرُّوا النَّدَامَةَ لَمَّا رَأَوُا الْعَذَابَ وَقُضِيَ بَيْنَهُمْ بِالْقِسْطِ وَهُمْ لا يُظْلَمُون }","ظلمت"
ظ,"ما اللفظة التي تعني اللطافة وحُسن المعشر وخفّة الروح؟","ظرافة"
ظ,"من هو الشخص الذي يتكلم بكلام لا يُفهم؟","ظأظأ"
ظ,"من المذاهب الفقهية التي تأخذ بظواهر النصوص الشرعية؟","الظاهرية"
ظ,"هو معاقبة شخص بدون أن يفعل شيء أو مكافأة شخص دون أن يفعل شيء؟","ظلم"
ظ,"ما الفعل الذي يعني فقدان الماء من الجسم والإحساس بالعطش؟","ظميء"
ظ,"ما اسم خانة اللاعب التي يتواجد فيها في الجانب الأيمن من ملعب كرة القدم؟","ظهير أيمن"
ظ,"ما هي الكلمة التي تعني الغموض أو الالتباس؟","الظنون"
ظ,"ما هو عكس النهار؟","ظلام"
ظ,"ما هو المصطلح الذي يطلق على وضع الشيء في غير موضعه ومجاوزة الحد؟","ظلم"
ظ,"ما هو مرادف أطل، أناف، أهل، واتضح؟","ظهر"
ظ,"ما الاسم العربيّ لذكر النعام؟","ظليم"
ظ,"ما المفردة التي نُطلِقها على أي حدث أو أمر يمكن رصده وملاحظته؟","ظاهرة"
ظ,"كلمة بمعنى مُتهم أو من نسب إليه ذنب أو جريمة","ظنين"
ظ,"ما اسم اللاعب الذي يشغل مركز الدفاع على أطراف الملعب؟","ظهير"
ظ,"ما هو اسم المنطقة التي كانت تُعرف باسم ظفار في التاريخ القديم؟","ظفار"
ظ,"ما الاسم الذي يُطلَق على أنثى الغزال الجميلة الرشيقة؟","ظبية"
ظ,"أكمل الآية قال تعالى: { وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ سَنُدْخِلُهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا أَبَدًا لَهُمْ فِيهَا أَزْوَاجٌ مُطَهَّرَةٌ وَنُدْخِلُهُمْ ظِلًّا _________ }","ظليلا"
ظ,"التهمة لها اسم صريح؟","ظنة"
ظ,"ما الصفة التي تُطلق على المكان المليء بالظل والمُحاط بالأشجار أو الذي يقي من حرارة الشمس؟","ظليل"
ظ,"بمعنى فاز بالشيء وأخذه وناله وحصل عليه","ظفر"
ظ,"من مدن سلطنة عمان","ظفار"
ظ,"ما هو المصطلح الذي يطلق على غياب الضوء أو المنطقة التي لا يصل إليها الشعاع؟","ظلام"
ظ,"ما هي أول صلاة فرضت على المسلمين؟","الظهر"
ظ,"في النحو هو يدل على زمان الحدث أو مكانه؟","ظرف"
ظ,"ما اسم المدينة السعودية التي تشتهر بالصناعات النفطية وتحتضن قاعدة جوية؟","الظهران"
ظ,"أكمل الآية، قال تعالى: { هَلْ يَنْظُرُونَ إِلَّا أَنْ يَأْتِيَهُمُ اللَّهُ فِي ............ مِنَ الْغَمَامِ وَالْمَلَائِكَةُ وَقُضِيَ الْأَمْرُ وَإِلَى اللَّهِ تُرْجَعُ الْأُمُورُ }","ظُلَلٍ"
ظ,"ما هو عكس النور؟","ظلام"
ظ,"ما هي أول صلاة صلاها النبي محمد؟","صلاة الظهر"
ظ,"يدخل فيه المتحابون في الله يوم القيامة؟","ظل عرش الرحمن"
ظ,"ما هي أول صلاة صلاها النبي ﷺ والمسلمون معه؟","الظهر"
ظ,"ما المصطلح الذي يطلق على المرأة المسافرة في الهودج على ظهر الجمل في القوافل القديمة؟","ظَعينة"
ع,"ينص مبدأ برنولي على أن العلاقة بين ضغط المائع وسرعته؟","عكسية"
ع,"ما هو الشيء الذي إذا أخذت منه تزداد كميته؟","العقل"
ع,"ما هو المصطلح الذي يطلق على حقبة زمنية؟","عصر"
ع,"من الخليفة الذي عزل خالد بن الوليد وعين أبا عبيدة بن الجراح؟","عمر بن الخطاب"
ع,"ما هو مرادف كلمة شديد الغرابة؟","عجيب"
ع,"ما يؤديه الإنسان المُكلَّف من أفعال تقرُّبا إلى الله‏، كالصلاة ونحوها.","عبادة"
ع,"اسمٌ آخر لعدوى جُدري الماء؟","عنقز"
ع,"ماذا تعني كلمة ""صرف"" في علم اللغة العربية؟","علم الكلمة"
ع,"هي الخيل التي تعدو في الغزو واقسم الله بها في القرآن ؟","العاديات"
ع,"اسم زوجة عمر بن الخطاب رضي الله عنهما","عاتكة بنت زيد"
ع,"من هو الهداف التاريخي للدوري السعودي للمحترفين؟","عمر السومة"
ع,"ما هي العظمة التي لا تبلى بعد موت الإنسان مهما طال الزمان ومنها يعاد الخلق؟","عجب الذنب"
ع,"اسم بمعنى العمر الطويل؟","عمر"
ع,"منطقة من مناطق المملكة؟","عسير"
ع,"اسم عربي كتابته ليست كنطقه؟","عمرو"
ع,"ما هو اسم خيل الملك عبدالعزيز؟","عبية"
ع,"من الصحابي الذي أعطاه الرسول -صلى الله عليه وسلم- مفتاح الكعبة عند فتح مكة؟","عثمان بن طلحة"
ع,"محافظة في جنوب المملكة تنقسم إلى قسمين شمالي وجنوبي","العرضيات"
ع,"من صفات الإنسان في القرآن الكريم ؟","عجول"
ع,"مبلغ جزئي يدفع عند توقيع العقد لضمان جدية التعاقد","عربون"
ع,"ما هي التركة التي ليس مقدرة بقسمة معينة؟","العصبة"
ع,"ما هو اسم آلة وترية عربية قديمة؟","العود"
ع,"ما اسم أول معجم عربي شامل؟","العين"
ع,"من هو مؤسس نادي الهلال؟","عبدالرحمن بن سعيد"
ع,"ما اسم الدولة الإسلامية التي قامت بعد سقوط الدولة الأموية وجعلت بغداد عاصمة لها؟","الدولة العباسية"
ع,"مدينة سعودية تقرأ من اليمين إلى اليسار أو العكس","العلا"
ع,"ما هو اسم المعركة التي شهدت أول انتصار عسكري للمسلمين ضد المغول؟","عين جالوت"
ع,"ما هي أول دولة عربية تشرق فيها الشمس؟","سلطنة عمان"
ع,"هو اتفاق بين طرفين يلزم كلاهما بما يقتضيه؟","العقد"
ع,"من الذي أنهى الدولة السعودية الثانية؟","عبدالرحمن بن فيصل"
ع,"ما هي قافلة الجمال التي تكون محملة بالبضائع والسلع؟","عير"
ع,"من هو الذي كان يلقب بأسد الصحراء والذي قاوم الاحتلال الإيطالي؟","عمر المختار"
ع,"ما هو اسم الكوكب الأقرب إلى الشمس؟","عطارد"
ع,"من أقام الدولة الأموية في الأندلس خلال عهد الدولة العباسية؟","عبدالرحمن الداخل"
ع,"من هو الصحابي الذي بعثه الرسول للنجاشي؟","عمرو بن أمية الضمري"
ع,"ما المصطلح الذي يصف تجاوز المصروفات للإيرادات في ميزانية دولة أو مؤسسة؟","عجز"
ع,"ما كان اسم خيل الملك عبد العزيز رحمه الله؟","عبية"
ع,"تصدى جيش المماليك لجيش المغول في أي معركة؟","عين جالوت"
ع,"من هو الصحابي الذي هزم وقتل هرقل قائد الروم في معركة اليرموك؟","عمر بن الخطاب"
ع,"تقسيم البشرية على أساس باطل من بعض المعايير كلون البشرة ونوع الشعر واللغة والعائلة والبلد؟","العنصرية"
ع,"من هو مؤسس علم البلاغة؟","عبد القاهر الجرجاني"
ع,"من هو الشخص الذي لُقب بلقب نابليون الجزيرة؟","عبدالعزيز"
ع,"مادة تستخرج من جوف الحوت وتستخدم بالعطور","العنبر"
ع,"ما هو الشيء الوحيد الذي طلب الله من رسوله صلى الله عليه وسلم الاستزادة منه؟","العلم"
ع,"ما هي أول سورة قرآنية نزلت على الرسول صلى الله عليه وسلم؟","العلق"
ع,"من هو الشاعر الجاهلي الذي اشتهر بفروسيته وشجاعته، وصاحب معلقة ""هل غادر الشعراء من متردم""؟","عنترة بن شداد"
ع,"مجموعة من الأنسجة التي تقوم بعمل وظيفة معينة أو عدة وظائف","العضو"
ع,"اسم يطلق على الأنثى شديدة السمنة","عركركة"
ع,"ما هو اسم الصحابي الذي كان يُلقب بـ”الفاروق” وكان أول من فرق بين الحق والباطل في الإسلام؟","عمر بن الخطاب"
ع,"ما اسم المادة الصمغية التي تستخدم في صناعة العطور؟","عنبر"
ع,"من هو الملقب بأسد السنة؟","عثمان الخميس"
ع,"هو قطعة من الزي العربي التي يرتديها الرجال في الجزيرة العربية، ويلبس فوق الشماغ أو الغترة.","العقال"
ع,"موضع بالقرب من بيسان هزم عنده التتار على يد السلطان قطز والقائد بيبرس؟","عين جالوت"
ع,"مدينة سعودية ويعد اسم هذه المدينة من أنواع النباتات البرية؟","عرعر"
ع,"من الذي لقب بترجمان القرآن؟","عبد الله بن عباس"
ع,"بماذا تقاس سرعة السفينة؟","العقدة"
ع,"من هو الصحابي الجليل الذي تستحي منه الملائكة؟","عثمان بن عفان"
ع,"بماذا لقب أبو بكر الصديق؟","عتيق"
ع,"ماذا يسمى الإنصاف وإعطاء كل ذي حق حقه؟","عدل"
ع,"من هو أول من هزم الفايكنج؟","عبد الرحمن الأوسط"
ع,"ما المصطلح الذي يطلق على الشخص الذي يعمل سراً لصالح دولة أجنبية أو منظمة معادية لجمع المعلومات؟","عميل"
ع,"من هو الصحابي الذي لقب بـ (ذو النورين)؟","عثمان بن عفان"
ع,"نوع من التمر يزرع بشكل رئيسي في المدينة المنورة، و تشتهر بلونها الداكن المائل إلى السواد","العجوة / العنبرة"
ع,"من هو الذي دعا له النبي اللهم فقه في الدين؟","عبدالله بن عباس"
ع,"ما هو الجزء في جسم الإنسان الذي يحتوي على أعلى نسبة بروتين؟","العدسة"
ع,"في عهد من بدأ التشكيل في القرآن الكريم؟","علي بن أبي طالب"
ع,"ماهي المادة التي لا يمكن تجزئتها إلى مواد أبسط منها؟","العنصر"
ع,"ما هو أعظم المخلوقات؟","عرش الله عز وجل"
ع,"من الرجل الملقب بصاحب الزنج؟","علي بن محمد العلوي"
ع,"هو أحد حكام الدولة الأموية ومن نسل أحد العشرة المبشرين بالجنة؟","عمر بن عبد العزيز"
ع,"لقب يمنح للشخصيات الداعمة مادياً ومعنوياً في الأندية السعودية، ويمتلكون عادة نفوذاً وتأثيراً خاصاً داخل النادي؟","عضو شرف"
ع,"بماذا تسمى أنثى الأرنب؟","عكرشة"
ع,"ما المقصود بـ 'فيه شفاء للناس'؟","العسل"
ع,"من الصحف المحلية المعروفة في المملكة؟","عكاظ"
ع,"ما هو الفيلم الأمريكي الذي فاز بجائزة الأوسكار لأفضل فيلم عام 1972 وتدور أحداثه حول المافيا؟","العراب"
ع,"ماذا كان يسمى إبليس في الجنة؟","عزازيل"
ع,"ما هو الشيء الذي يخرج من ظهر أمه ليحك ظهر أبيه؟","عود الكبريت"
ع,"ما هو اسم أنثى الضبع؟","أم عامر"
ع,"ماذا يطلق على صوت الذئب؟","عواء"
ع,"ما هو الطائر الذي يتميز بصوته المميز الذي يشبه العواء؟","العقاب"
ع,"ما هو اسم ابن خلدون الأول؟","عبدالرحمن"
ع,"من هو مؤسس الدولة السعودية الثالثة؟","الملك عبدالعزيز آل سعود"
ع,"من هو الذي قالت عنه اليهود أنه ابن الله كما ورد في القرآن الكريم؟","عزير"
ع,"ما اسم الشعور بالحب الشديد والتعلق العاطفي؟","عشق"
ع,"في حسبة مساحة المربع نستخدم الطول و؟","العرض"
ع,"ما هو الاسم القديم لمدينة عمان عاصمة الأردن؟","عمون"
ع,"من هو الصحابي الذي دفن مع حمزة بن عبد المطلب؟","عبد الله بن جحش"
ع,"من هو أول مولود للمهاجرين في المدينة واستبشر المسلمون بمولده؟","عبدالله بن الزبير بن العوام (رضي الله عنه)"
ع,"ما هو النبي الذي مات وهو نائم؟","عزير"
ع,"من هو الصحابي الذي قتل عمرو بن عبد ود في غزوة الخندق؟","علي بن أبي طالب"
ع,"ما اسم العدد الذي يعبر عن كمية أو مدى شيء ما؟","عدد"
ع,"ماذا يُطلق على عدد 500 إلى 1000 من الإبل؟","العرج"
ع,"اسم امرأة يتكون من أربعة أحرف إذا رفعت نقاطه لفوق يصير اسم رجل؟","عبير"
ع,"من هو رأس المنافقين؟","عبدالله بن أبي بن سلول"
ع,"ما اسم الرقصة التقليدية التي تُؤدى في بعض دول الخليج العربي؟","العرضة"
ع,"في التاريخ: ما هي القبيلة العربية التي نسب لها عنترة بن شداد؟","عبس"
ع,"هي تكاليف التي أمر الله بها العبادة؟","عبادات"
ع,"فارس عربي يعد من أشهر شعراء فترة ما قبل الإسلام، اشتهر بشعر الفروسية وبغزله العفيف مع معشوقته عبلة؟","عنترة بن شداد"
ع,"من هو عم النبي صلى الله عليه وسلم؟","العباس"
ع,"ما هي ثاني أقصر سورة في القرآن الكريم؟","العصر"
